source,version,period,rastUrlPattern,timestampUrl,filePattern,lastUpdate,notes
WorldClim,1.4,historical,,,,5/3/2021,
WorldClim,1.4,future,,,,5/3/2021,
WorldClim,2.1,historical,,,,5/3/2021,
WorldClim,2.1,future,,,,5/3/2021,
WorldClim,2.1,elevation,,,,5/3/2021,
WorldClim,2.1,decadal,,,,,
TerraClimate,NA,NA,,,,,
TerraClimate,NA,elevation,,,,,
PRISM,public,NA,,,,,
PRISM,subscription,NA,,,,,
PRISM,NA,elevation,,,,,
CHELSA,,,,,,,
DayMet,,,,,,,
